idx,query,generated,ground_truth,category
0,Context: Click here to activate or add us as a Preferred Source in your Google s...,Stockholm syndrome is a condition which causes hostages to develop a psychologic...,This term was first used by foreign media in 1973 as eponym when four hostages w...,GOOD
1,Context: The Raiders organization has announced that it will be employing the se...,"The Las Vegas Stadium is the working name for the domed stadium, which will not ...",Las Vegas Stadium is the working name for a domed stadium under construction in ...,GOOD
2,"Context: In September 1998, Rush played the title role in the Beaumarchais play ...","He starred in the film Pirates of the Caribbean: The Curse of the Black Pearl, a...","Rush's career continued at a fast pace, with nine films released from 2001 to 20...",GOOD
3,Context: This was the first step and the acid test was to locate a star directly...,Experiments are the step in the scientific method that arbitrates between compet...,"In the scientific method, an experiment is an empirical procedure that arbitrate...",REDUNDANCY
4,"Context: The word ""Arctic"" is used in Norway in various contexts. The government...","The Arctic landmass is divided into three zones: the High Arctic, the Low Arctic...","The Arctic Circle passes through the Arctic Ocean, the Scandinavian Peninsula, N...",MISSING_INFORMATION
5,Context: St Maarten Offering remarkable views of the coastline and picturesque b...,St Maarten (/ ˈmaɪrərɪn / (listen); Dutch: (stɪˈmaːrɛn); Dutch pronunciation: (s...,"Maho Beach is a beach on the Dutch side of the Caribbean island of Saint Martin,...",HALLUCINATION
6,"Context: ROC C Lyrics - Lyricszoo Roc C Lyrics Follow Taiwan ( ( listen)), offic...","Taiwan (/ ˌtʃɪn / (listen), officially the Republic of China (ROC), is a state i...","Taiwan (/ ˌtaɪˈwɑːn / (listen)), officially the Republic of China (ROC), is a st...",REDUNDANCY
7,Context: Stories (current) Post Author Economy All Economy blogs : The Invisible...,"In the United States, the federal government is the executive branch of a federa...",The first march for a nine-hour day by the labour movement occurred in Melbourne...,HALLUCINATION
8,"Context: Most plants, most algae, and cyanobacteria perform the process of photo...","Most plants, most algae, and cyanobacteria perform the process of photosynthesis...",Photosynthesis is a process used by plants and other organisms to convert light ...,GOOD
9,Context: Reducing the Accommodation Fees Most families are surprised to learn th...,Residential Accommodation Deposits (RAD's) and additional service fees (ASF's) c...,A Royal Commission is a major ad-hoc formal public inquiry into a defined issue ...,MISSING_INFORMATION
